下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
下午3:46 - 2017年11月29日," Are you gearing up for @icasa2017 @ICASAYouthFront ? It's time to get real; we are coming & we are ready to shape the event. #ASRH #SRHR #endAIDS #InclusionBeginsWithMe #LGBT #SexualHealth #READYtoDecide #EndTB #EndStigma #ZeroDiscrimination #RightsToHealth #WAD2017 #SDGs #Goal3pic.twitter.com/7DJg1SUJQP "
下午3:45 - 2017年11月29日," In India they are addressing SDG#4 (Quality Education) by addressing accountability http://ow.ly/rCEB30gRdNG? #SDGs #globalgoals "
下午3:42 - 2017年11月29日," Tensions and problems for policy coherence in the SDGs - Trade is  framed as a mechanism for achieving SDGs but is also enabling the spread of unhealthy commodities - Prof Sharon Friel #SDOHpic.twitter.com/vMK3uSti5B "
下午3:42 - 2017年11月29日," From ESG to SDGs: An investor?s perspective on sustainability reporting http://bit.ly/2AwwV70? via @SustainBrands #impinv #invest4impactpic.twitter.com/242fh9QLch "
下午3:41 - 2017年11月29日," Read about companies aligning their activities to SDG 11 Sustainable Cities and Communities! http://www.sustainabilitywithinreach.com/2017/11/29/sdg-11-sustainable-cities-and-communities/?? via @GwenWhite2025 #SDGs #CSR #ESG #Sustyreporting #Sustainability "
下午3:41 - 2017年11月29日," What a great one-stop #SDG friendly shop! Thank you @allison_fuisz Sustainable Development Goals (SDGs): Personalized PD for all  https://padlet.com/Fuisz/SDGsPDforanyone?? @TeachSDGs @TheWorldsLesson @25MaHa @Ada_McKim @sr_tutor @GSLS2018LON @SirKenRobinson @FernandoReimers @JenWilliamsEdu  "
下午3:38 - 2017年11月29日," Population #Ageing is already a challenge in the first world, will be an even greater issue in developing countries. The time to act is NOW. #2030Agenda #SustainableDevelopmentGoals #SDGs #LeaveNoOneBehind #LNOBhttps://twitter.com/RKalapurakal/status/935962999675932679?? "
下午3:34 - 2017年11月29日," El Salvador's #SkypeaThon Day 2 with @AnthonySalcito: sharing our passion for global learning in Lamatepec and La Floresta schools.  #MIEExpert #MIEExpertLatam #MicrosoftEdu #Skype #SkypeClassroom #Skype2Learn #SDGs #UNESCOpic.twitter.com/T6eN21AelN "
下午3:32 - 2017年11月29日," GLOBALG.A.P. Supports Sustainable Development Goals (SDGs) of the United... https://youtu.be/TbjHfg2JUeg? v?a @YouTube "
下午3:29 - 2017年11月29日," Every time I look at all the SDGs I see their impact on NCDs. And the impact of #NCDs in reaching all #SDGs. Hope the presentations at #NCDAF2017 are posted online ...https://twitter.com/kentbuse/status/936000968902238209?? "
下午3:28 - 2017年11月29日," Meeting our newest #PRME signatory from India @MyTAPMI  - great to learn about partnership projects in support of #SDGs from Ishwar Haritas today when he visited @PRMESecretariat in #NYC.pic.twitter.com/BgtEQfpmYC "
下午3:22 - 2017年11月29日," This is a little bit odd to look at, but they're making an interesting point. #SDGs #Exterminate #Exterminate #Exterminatehttps://lnkd.in/gMb4ghm? "
下午3:21 - 2017年11月29日," We articulated that #languages are #equal and have #dignity, but have we discussed what we mean by #equality and #dignity in the context of #LanguageDev and #HumanExperience? #SDGs "
下午3:20 - 2017年11月29日," El Salvador's #SkypeaThon Day 1 with @aliffothman04 and @ezatrania2: The start of an endless journey in Lamatepec and La Floresta schools.  #MIEExpert #MIEExpertLatam #MicrosoftEdu #Skype #SkypeClassroom #Skype2Learn #SDGs #UNESCOpic.twitter.com/IN05NRbWQQ "
下午3:20 - 2017年11月29日," 'Of the 152 million girls and boys still engaged in child labor, nearly half (73 million) are doing hazardous work that ?directly endangers their health, safety, and moral development.?' #SDGs #childlaborhttp://ow.ly/lzK630gTWDW? "
下午3:18 - 2017年11月29日," Monika Arora of the Healthy India Alliance & HRIDAY-SHAN will bring insights from India to #NCDAF2017 Plenary Two, in terms of the country?s progress on the #SDGs, as well as the role & collaboration opportunities for alliances like @HIA_NCD to strengthen advocacy efforts.pic.twitter.com/zxBtw10Rwg "
下午3:17 - 2017年11月29日," We look forward to @NordstrmAnders of @SweMFA opening #NCDAF2017 Plenary Two with his keynote on ?The 2030 Agenda for Sustainable Development: Opportunities & Implications for #NCDs Prevention & Control? #SDGs #UNHLMpic.twitter.com/n4K0o5aZqy "
下午3:15 - 2017年11月29日," We need a trillion more trees     We need to protect & enhance the planets critical ecosystems  #NaturalCapital #ClimateAction #SDGs http://ens-newswire.com/2017/11/28/planet-earth-needs-a-trillion-new-trees/?? "
下午3:11 - 2017年11月29日," #FOG with @Vancity excited to be here to talk about AI and the UN SDGs pic.twitter.com/29BEOCAAJQ "
下午3:04 - 2017年11月29日," #ScienceMatters   This newly discovered orangutan species could soon go extinct. pic.twitter.com/kXtpfBnsWX #SDGs @verge "
下午3:00 - 2017年11月29日," fleejack: RT alicekorngold: Hard evidence showing the value of nonprofit board service in advancing company goals for #DiversityandInclusion, developing human capital for #innovation, & achieving the #SDGs. https://www.youtube.com/watch?v=mSd5SyBZN0Q?? w SarahVMiddleton HUGrady RobVallentine #CSR "
下午3:00 - 2017年11月29日," Reading for #SDGs - #Child #malnutrition rises in the 1st yr - importance of infant feeding practices. #NFHS #India https://scholar.google.ca/citations?user=auUJNUoAAAAJ&hl=en?? "
下午2:59 - 2017年11月29日," @AnthonySalcito and the #SkypeaThon session in El Salvador.  #MIEExpert #MIEExperLatam #MicrosoftEdu #SkypeClassroom #Skype2Learn #SDGs #UNESCO.pic.twitter.com/LA2mRaQe03 "
下午2:56 - 2017年11月29日," Hard evidence showing the value of nonprofit board service in advancing company goals for #DiversityandInclusion, developing human capital for #innovation, & achieving the #SDGs. https://www.youtube.com/watch?v=mSd5SyBZN0Q?? w @SarahVMiddleton @HUGrady @RobVallentine #CSR "
下午2:55 - 2017年11月29日," @WorldBank to fund #Indian #renewable #energy: The #development #bank will provide US$98mn in debt to the Indian Renewable Energy Development Agency (IREDA), which will on-lend the money to states in #India for #solar projects. http://ow.ly/h5Hm30gU4dz? #SDG7 #SDGs @mnreindiapic.twitter.com/GLS6u6aQb8 "
下午2:54 - 2017年11月29日," 'We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午2:53 - 2017年11月29日," CSR/Sustainability Practitioner's Training with SDGs - :39312 - https://www.nigerianseminarsandtrainings.com/events/39312/CSR-Sustainability-Practitioner-s-Training-with-SDGs---Intermediate?? "
下午2:52 - 2017年11月29日," @ESA_EO @EO4SDG @CEOSdotORG @GEOSEC2025 @MarcPaganini on how the EO Community organizes to scale up uses of #openEOdata by countries for the #SDGs pic.twitter.com/ndEtWJPbTc "
下午2:43 - 2017年11月29日," #BeyondGivingTuesday Please support our campaign for #NewChampions #WomensphereIncubatorNetwork & help scale the empowerment, training & education of women & girls globally in leadership, SDGs, STEAM. @yglvoices initiative led by @analisabalares @rajivpanthttps://www.youcaring.com/womensphereincubator?? "
下午2:37 - 2017年11月29日," Even our policies should be within the SDGs framework thereby contributing to the achievement of those goals. "
下午2:36 - 2017年11月29日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午2:36 - 2017年11月29日," You can find my published read watch here #Econ355 #econ101 #MDGs #SDGs #globalhealth #ubc #SDOH #CMNH https://scholar.google.ca/citations?user=auUJNUoAAAAJ&hl=en?? "
下午2:34 - 2017年11月29日," Thought I was going to a conference and I've walked into a party. Loving your work @futureofgood! #FoG #SDGs pic.twitter.com/YzXa6XjRrR "
下午2:33 - 2017年11月29日," Plenary Two at #NCDAF2017 will be expertly chaired by @RachelNugent of @RTI_Intl, with the theme ?Breaking Down Silos, Building Synergies: Accelerating #NCDs in the 2030 Sustainable Development Agenda? #SDGs pic.twitter.com/PEfFWmK5eX "
下午2:31 - 2017年11月29日," Interesting point by @Expedia Katharine Cheng, that focusing on the #SDGs has really brought Expedia?s citizenship and community efforts to life for their employees - drives greater human impact AND greater employee engagement. #GWConf2017 "
下午2:30 - 2017年11月29日," Dirty air is killing our children. Why does the government let this happen? #SDGs https://www.theguardian.com/commentisfree/2017/nov/29/dirty-air-killing-children-government-politicians-teachers-public-health-crisis?CMP=Share_iOSApp_Other?? "
下午2:30 - 2017年11月29日," Debajit Palit of @teriin, a research institute, says a newly announced government scheme is a step in the right direction to electrify all households in #India, but only with change management at state-owned distributors http://ow.ly/WR4l30gU5eD? #SDG7 #SDGs #globalgoals #energypic.twitter.com/qpMwyVo9fm "
下午2:30 - 2017年11月29日," This year?s @GNReport highlights how improving nutrition globally can help catalyze achievement of the SDGs. Learn how: https://www.globalnutritionreport.org/files/2017/11/Report_2017.pdf?? #NourishtheSDGs "
下午2:28 - 2017年11月29日," Course the old depot was in the triangle before and it was just Sdgs where the new depot is now. Oh well leave them to it. "
下午2:27 - 2017年11月29日," As the #UNWTO #tourism conference wraps up, @UNWTO Dir Carlos Vogeler & @TourismJamaica Minister Bartlett recognize the co-sponsors and share the #IY2017 declaration #SDGs #partnerships - glad we could collaborate on this gathering!pic.twitter.com/9S68dLz9m9 "
下午2:26 - 2017年11月29日," Learn how you can harness your employees? passions & talents to make a difference against the #SDGs: @TriplePundit "
下午2:25 - 2017年11月29日," Financing the #SDGs will cost $2.5 trillion in capital - and that?s probably an underestimate. Blended finance may be the answer. http://bit.ly/2ngNQI4?pic.twitter.com/z6aCT6bMB2 "
下午2:20 - 2017年11月29日," Dear friend @TabiJoda1 We will soon reach out to you with a format of prefeasbility report, which may help in preparing a solid case 2 accelerate your cause of reaching #100MillionTrees We are marching slowly but surely towards achieving #SDG15 #SDG17 #SDGs Keep up t/ good work "
下午2:16 - 2017年11月29日," Welcome 150+ youth in @umoncton at @CityofMoncton to the #SDGs Youth Training!  #CANYouth4SDGs @CanadaUN @UNIDO @patrickgilabert @UNIDO_SDG @SDGaction @IFMSA_Quebec @FESplanet @steveleesjpic.twitter.com/NBpMOV0uiT "
下午2:15 - 2017年11月29日," RT "RT DrTedros: An estimated US$ 2.7 billion was invested to fight #malaria in 2016. That is well below the US $6.5 billion annual investment required to meet the SDGs target to #EndMalaria by 2030 http://bit.ly/2zA1YO3?" "
下午2:15 - 2017年11月29日," Actualization of #SDGs in Nigeria, as elsewhere, lies greatly with the youth http://ow.ly/r8yZ30gR1zR? #globalgoals #sustainable "
下午2:12 - 2017年11月29日," WHO: RT DrTedros: An estimated US$ 2.7 billion was invested to fight #malaria in 2016. That is well below the US $6.5 billion annual investment required to meet the SDGs target to #EndMalaria by 2030 http://bit.ly/2zA1YO3? "
下午2:10 - 2017年11月29日," #BoP #impinv Unitus Seed Fund mapping to 4 of the UN #SDGs, says it's first fund in India to do so https://www.forbes.com/sites/annefield/2017/09/30/bop-investor-unitus-seed-fund-mapping-its-impact-to-the-uns-sustainable-development-goals/#1fadd5632357?? #socentpic.twitter.com/CqFdfWMH4I "
下午2:10 - 2017年11月29日," #India requires companies to spend 2% of profit on CSR. New research shows just a tiny fraction of that spend going to #clean #energy, with money  often failing to reach the most energy-poor regions http://ow.ly/MVUt30gU4Za? #SDG7 #SDGs #globalgoals #renewablespic.twitter.com/JzajSGa53T "
下午2:06 - 2017年11月29日," .@MOA_org shows LA County is healthy but not for everyone, work in @LACity on #SDGs will help @undp @Data4SDGspic.twitter.com/A2VRHqyYLf "
下午2:03 - 2017年11月29日," .@USAID @FeedtheFuture Asia Innovative Farmers Activity has sourced 91 agricultural technologies and innovative practices, transforming the lives of 16,500 farmers. #GES2017 #AsiaAgTech #AgTech #EndHunger #SDGs @USAIDAsia http://bit.ly/2in0dAL?pic.twitter.com/rxJplFQOja "
下午2:02 - 2017年11月29日," .@PwC study found that 71% of all businesses plan to engage in the SDGs - the private sector has a strong role to play in advancing global development #GWConf2017 "
下午2:02 - 2017年11月29日," Thanks! As AIESEC we facilitate annually 30.000+ volunteer experiences contributing to the #SDGs, though this year 10 in the fund by PwC! Of course we're always looking to grow our partnership though we partner on many other levels too ;)! more here; http://bit.ly/2j18cQW? ^MW "
下午2:02 - 2017年11月29日," This issue of @USAIDWater Currents is co-curated by @SwpWater! Check out the latest #WaterSecurity news from @USAID: US Global Water Strategy, #privatesector engagement guide, two toolkits for water security improvement and more! #Water #SDGs #SDG6 http://bit.ly/2imK8uA?pic.twitter.com/mvlYMdX5Kl "
下午2:01 - 2017年11月29日," @RoseAcademies  #SDGs & works 2 achieve #SDG3, #SDG4, #SDG5, & #SDG6. Empowering girls w/knowledge of #MHM #HumanRights #puberty advocates 4 #Education as the means 2 eradicate poverty. @SDG2030 @TeachSDGs @SDGoals @UNICEFEducation @Education2030UNhttps://twitter.com/AdamRogers2030/status/935981256558497792?? "
下午2:01 - 2017年11月29日," How #ArtificialIntelligence can help achieve the #SDGs and other international development agendas.  Future-looking keynote by Stephen Ibaraki at #UNIDOGC 2017pic.twitter.com/vha6CZruke "
下午2:01 - 2017年11月29日," Proud to finally published this.. much time and effort.. know more about #Jordan challenges in implementing the SDGs in the #water #energy #climatechange sectorshttps://twitter.com/wanainstitute/status/935487497018249216?? "
下午2:00 - 2017年11月29日," Who Will Pay For Nature? How to Catalyze Private Investment in Sustainability http://ow.ly/eCzD30gTqCH? forbes #environment #SDGs "
